Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
201752708,Haunted States: An American Gothic Guidebook,Miranda Corcoran,"Corcoran, Miranda",,"=""1914420330""","=""9781914420337""",0,3.89,Repeater,Kindle Edition,351,2024,2024,,2025/03/08,currently-reading,currently-reading (#5),currently-reading,,,,1,0
20863042,"Ghosts of My Life: Writings on Depression, Hauntology and Lost Futures",Mark Fisher,"Fisher, Mark",,"=""""","=""""",0,3.99,Zer0 Books,Paperback,232,2014,2014,,2025/03/08,to-read,to-read (#39),to-read,,,,0,0
16284967,The Notion of Authority: A Brief Presentation,Alexandre Kojève,"Kojève, Alexandre",Hager Weslati,"=""1781680957""","=""9781781680957""",0,3.74,Verso,Hardcover,224,2014,2004,,2025/03/08,to-read,to-read (#38),to-read,,,,0,0
129969780,The Sleepwalkers by Hermann Broch (1996-01-30),Hermann Broch,"Broch, Hermann",,"=""""","=""""",0,4.10,Vintage,Unknown Binding,0,,1931,,2025/03/08,to-read,to-read (#37),to-read,,,,0,0
13151121,Immunitas: The Protection and Negation of Life,Roberto Esposito,"Esposito, Roberto",,"=""0745649149""","=""9780745649146""",0,4.14,Polity,Paperback,200,2011,2002,,2025/03/08,to-read,to-read (#36),to-read,,,,0,0
2599815,Hominescence,Michel Serres,"Serres, Michel",,"=""2746500558""","=""9782746500556""",0,3.57,POMMIER,Paperback,348,2001,,,2025/03/08,to-read,to-read (#35),to-read,,,,0,0
26694,Empire,Hardt,"Hardt, Hardt",Antonio Negri,"=""0674006712""","=""9780674006713""",0,3.77,Harvard University Press,Paperback,478,2001,2000,,2025/03/08,to-read,to-read (#34),to-read,,,,0,0
9543845,The Laws of Imitation,Gabriel Tarde,"Tarde, Gabriel",,"=""0217633277""","=""9780217633277""",0,3.90,Henry Holt and Company,Hardcover,446,1903,2013,,2025/03/08,to-read,to-read (#33),to-read,,,,0,0
25362773,The Different Modes of Existence (Univocal),Étienne Souriau,"Souriau, Étienne","Erik Beranek, Tim Howles","=""193756150X""","=""9781937561505""",0,4.19,Univocal Publishing,Paperback,235,2015,2009,,2025/03/08,to-read,to-read (#32),to-read,,,,0,0
8707564,A Foray Into the Worlds of Animals and Humans: With a Theory of Meaning,Jakob Johann von Uexküll,"Uexküll, Jakob Johann von",Joseph D. O'Neil,"=""0816659001""","=""9780816659005""",0,4.08,Univ Of Minnesota Press,Paperback,248,2010,1934,,2025/03/08,to-read,to-read (#31),to-read,,,,0,0
13822636,Monadology and Sociology,Gabriel Tarde,"Tarde, Gabriel",Theo Lorenc,"=""0980819725""","=""9780980819724""",0,3.73,Re.Press,Paperback,102,2012,1893,,2025/03/08,to-read,to-read (#30),to-read,,,,0,0
174518,"The Aesthetics of Resistance, Vol. 1",Peter Weiss,"Weiss, Peter",Joachim Neugroschel,"=""0822335468""","=""9780822335467""",0,4.29,Duke University Press,Paperback,376,2005,1975,,2025/03/08,to-read,to-read (#29),to-read,,,,0,0
209457786,"Peter Brötzmann: Free-Jazz, Revolution and the Politics of Improvisation",Daniel Spicer,"Spicer, Daniel",,"=""1915672406""","=""9781915672407""",0,4.53,Repeater,Paperback,352,2025,,,2025/03/08,to-read,to-read (#28),to-read,,,,0,0
125051915,Anti-Oculus: A Philosophy of Escape,Acid Horizon,"Horizon, Acid",,"=""1915672104""","=""9781915672100""",0,3.74,Repeater,Kindle Edition,202,2023,,,2025/03/08,to-read,to-read (#27),to-read,,,,0,0
199379548,Out of the World,Peter Sloterdijk,"Sloterdijk, Peter","Corey A. Dansereau, Gill Zimmermann","=""1503639002""","=""9781503639003""",0,4.20,Stanford University Press,Paperback,246,2024,1992,,2025/03/08,to-read,to-read (#26),to-read,,,,0,0
46002,Critique of Cynical Reason,Peter Sloterdijk,"Sloterdijk, Peter","Andreas Huyssen, Michael Eldred","=""0816615861""","=""9780816615865""",0,4.23,University of Minnesota Press,Paperback,600,1988,1983,,2025/03/08,to-read,to-read (#25),to-read,,,,0,0
118317,Anti-Oedipus: Capitalism and Schizophrenia,Gilles Deleuze,"Deleuze, Gilles",Félix Guattari,"=""0816612250""","=""9780816612253""",0,4.18,University of Minnesota Press,Paperback,400,1983,1972,,2025/03/08,to-read,to-read (#24),to-read,,,,0,0
226065,The Political Unconscious,Fredric Jameson,"Jameson, Fredric",,"=""0415287510""","=""9780415287517""",0,4.05,Routledge,Paperback,310,2002,1981,,2025/03/08,to-read,to-read (#23),to-read,,,,0,0
204011,Postmodernism or the Cultural Logic of Late Capitalism,Fredric Jameson,"Jameson, Fredric",,"=""0822310902""","=""9780822310907""",0,4.00,Duke University Press,Paperback,438,1992,1991,,2025/03/08,to-read,to-read (#22),to-read,,,,0,0
228234,The Treason of the Intellectuals,Julien Benda,"Benda, Julien","Richard Aldington, Roger Kimball","=""1412806232""","=""9781412806237""",0,3.81,Routledge,Paperback,276,2006,1927,,2025/03/08,to-read,to-read (#21),to-read,,,,0,0
123263848,Praiseworthy,Alexis Wright,"Wright, Alexis",,"=""1922725323""","=""9781922725325""",0,3.79,Giramondo Publishing Co,Paperback,736,2023,2023,,2025/03/08,to-read,to-read (#20),to-read,,,,0,0
